filename,survey,longitude,latitude,area,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea
PS96_057_0010__PS96_057-3_2016-01-21_1012.jpg,PS96,-29.0264,-76.3205,3.5224111230923754,14155776.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS96_090_0006__PS96_090-4_2016-01-29_1565.jpg,PS96,-17.0393,-72.4355,,14155776.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_090_0021__PS96_090-4_2016-01-29_1618.jpg,PS96,-17.0489,-72.4378,3.4113235656104535,14155776.0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PS96_106_0008__PS96_106-2_2016-01-31_0056.jpg,PS96,-17.8849,-72.6078,,14155776.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0
PS96_072_0001__PS96_072-4_2016-01-23_1407.jpg,PS96,-32.3628,-75.8592,2.49242087645462,14155776.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_026_0002__PS96_026-3_2016-01-08_4565.jpg,PS96,-37.9177,-75.2738,3.0920812938143194,14155776.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_026_0021__PS96_026-3_2016-01-08_4614.jpg,PS96,-37.9173,-75.271,2.646740379302345,14155776.0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_057_0013__PS96_057-3_2016-01-21_1045.jpg,PS96,-29.0129,-76.3218,3.708579579709515,14155776.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS96_001_0019__PS96_001-4_2015-12-23_3484.jpg,PS96,-11.1283,-70.8909,3.104610960189648,14155776.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0001__PS96_010-3_2016-01-01_4364.jpg,PS96,-26.0811,-74.956,1.8146583707575672,14155776.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_010_0003__PS96_010-3_2016-01-01_4159.jpg,PS96,-26.0461,-74.9451,3.411005948177573,14155776.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
