filename,longitude,latitude,area,survey,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea,bryozoans_hard_branching_antler-bryozoans,hydrocorals_branching-stylasterids,bryozoans_hard_branching_leaf-bryozoans,bryozoans_hard_lettuce-bryozoans,bryozoans_soft_dendroid-bryozoans,bryozoans_hard_encrusting-bryozoans,sponges_massive_round-porifera,sponges_massive_simple-porifera,bryozoans_soft_foliaceous-bryozoans,bryozoans_hard_branching_coralhead-bryozoans,sponges_crust_encrusting-porifera,sponges_erect_palmate-porifera,sponges_bead-porifera,bryozoans_soft_fan-bryozoans,sponges_hollow_tube_chimney-porifera,bryozoans_hard_fenestrate-bryozoans,sponges_erect_simple-porifera,bryozoans_purple-bryozoans,sponges_cup_table_disc-porifera,sponges_massive_barrel-porifera,sponges_erect_laminar-porifera,sponges_massive_cryptic-porifera,sponges_cup_cup_goblet-porifera,sponges_crust_creeping_ramose-porifera,sponges_erect_stalked-porifera,sponges_erect_branching-porifera,sponges_cup_incomplete_curled-porifera,n_annotation
CRS_1207_0004__DSC_0041-01.jpg,-69.71628888888888,-66.9833111111111,4.006590702588,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
CRS_1207_0002__DSC_0049-01.jpg,-69.71584444444444,-66.98475555555555,4.1170426624972,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1207_0010__DSC_0058-01.jpg,-69.71548888888888,-66.98591111111111,4.4692111312152,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1207_0006__DSC_0060-01.jpg,-69.7153111111111,-66.98648888888889,3.724464022308,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
CRS_1207_0001__DSC_0066-01.jpg,-69.71477777777777,-66.98822222222222,3.7728416715603,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
CRS_1207_0009__DSC_0071-01.jpg,-69.71451111111111,-66.98908888888889,4.0432204984416,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1207_0005__DSC_0074-01.jpg,-69.71433333333333,-66.98966666666666,3.8355394097235,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1207_0003__DSC_0080-01.jpg,-69.71379999999999,-66.9914,4.154218552244,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
CRS_1207_0007__DSC_0092-01.jpg,-69.71326666666666,-66.99313333333333,3.5361754103987,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1208_0008__DSC_0020-01.jpg,-69.71759523809524,-66.98007142857142,3.3311672820769,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
CRS_1208_0004__DSC_0023-01.jpg,-69.71783333333333,-66.9805,2.8893049665154,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
CRS_1208_0002__DSC_0031-01.jpg,-69.71854761904761,-66.9817857142857,3.5274409679709,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
CRS_1208_0010__DSC_0051-01.jpg,-69.71878571428572,-66.98221428571429,3.068706255286,CRS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
